season,player,pfr_id,tm,age,pos,g,gs,int,tgt,cmp,cmp_percent,yds,yds_cmp,yds_tgt,td,rat,dadot,air,yac,bltz,hrry,qbkd,sk,prss,comb,m_tkl,m_tkl_percent,loaded
2018,Shaquille Leonard,LeonDa00,IND,23,LLB,15,15,2,96,76,0.792,686,9,7.1,2,94.7,3.6,243,443,28,1,1,7,9,163,12,0.069,2023-08-21
2018,Leighton Vander Esch,VandLe00,DAL,22,RLB,16,11,2,90,72,0.8,602,8.4,6.7,3,96.4,4,233,369,15,1,1,0,2,140,10,0.067,2023-08-21
2018,Antoine Bethea,BethAn20,ARI,34,FS,16,16,0,56,37,0.661,347,9.4,6.2,2,94.9,8.2,206,141,30,4,3,3,10,121,19,0.136,2023-08-21
2018,Telvin Smith,SmitTe01,JAX,27,LLB,16,16,2,77,59,0.766,524,8.9,6.8,4,100.8,5,160,364,33,3,1,1,5,134,23,0.146,2023-08-21
2018,Lavonte David,DaviLa00,TB,28,RLB,14,14,0,77,62,0.805,569,9.2,7.4,4,114.8,3.9,201,368,54,0,2,3.5,6,120,9,0.07,2023-08-21
2018,Luke Kuechly,KuecLu00,CAR,27,MLB,16,16,1,54,36,0.667,239,6.6,4.4,2,80.7,2.4,32,207,55,4,3,2,9,130,10,0.071,2023-08-21
2018,Blake Martinez,MartBl01,GB,24,LILB,16,16,0,61,45,0.738,410,9.1,6.7,5,118.9,3.6,138,272,61,5,1,5,11,144,12,0.077,2023-08-21
2018,Cory Littleton,LittCo01,LA,25,LILB,16,16,3,64,47,0.734,536,11.4,8.4,3,94.3,7.1,255,281,58,4,0,4,8,125,10,0.074,2023-08-21
2018,Roquan Smith,SmitRo07,CHI,21,RILB,16,14,1,82,60,0.732,587,9.8,7.2,2,95.9,4.3,233,354,36,4,0,5,9,121,13,0.097,2023-08-21
2018,Tahir Whitehead,WhitTa00,LV,28,RLB,16,16,1,71,53,0.746,716,13.5,10.1,4,119.2,6.9,269,447,31,2,1,0,3,126,11,0.08,2023-08-21
2018,Jamal Adams,AdamJa00,NYJ,23,SS,16,16,1,60,33,0.55,405,12.3,6.8,1,74.7,9.8,235,170,69,2,4,3.5,10,115,12,0.094,2023-08-21
2018,Fred Warner,WarnFr00,SF,22,MLB,16,16,0,75,45,0.6,475,10.6,6.3,3,91.8,5.1,171,304,51,2,2,0,4,124,13,0.095,2023-08-21
2018,Bobby Wagner,WagnBo00,SEA,28,MLB,15,15,1,69,46,0.667,475,10.3,6.9,0,80.3,6.1,182,293,41,1,4,1,6,138,1,0.007,2023-08-21
2018,John Johnson,JohnJo10,LA,23,SS,16,16,4,56,38,0.679,391,10.3,7,4,81.8,8.6,243,148,15,0,2,0,2,119,8,0.063,2023-08-21
2018,Jaylon Smith,SmitJa05,DAL,23,MLB,16,16,0,58,46,0.793,413,9,7.1,2,107.8,5.3,196,217,68,7,2,4,13,121,12,0.09,2023-08-21
2018,Mason Foster,FostMa00,WAS,29,RILB,16,16,2,77,59,0.766,502,8.5,6.5,1,86.6,3.6,96,406,77,5,0,1,5,131,12,0.084,2023-08-21
2018,Anthony Hitchens,HitcAn00,KC,26,LILB,15,15,0,69,59,0.855,573,9.7,8.3,4,120.6,3.3,194,379,36,4,1,0,5,135,8,0.056,2023-08-21
2018,Shawn Williams,WillSh02,CIN,27,SS,16,16,5,60,41,0.683,556,13.6,9.3,7,101.8,10.4,391,165,19,2,1,1,4,110,10,0.083,2023-08-21
2018,Ha Ha Clinton-Dix,ClinHa00,2TM,26,SS,16,16,3,39,26,0.667,333,12.8,8.5,1,69.7,10.3,209,124,16,0,1,1,2,93,9,0.088,2023-08-21
2018,Todd Davis,DaviTo01,DEN,26,LILB,16,16,1,57,46,0.807,436,9.5,7.6,2,102.9,3.3,118,318,42,2,4,0.5,7,114,15,0.116,2023-08-21
2018,Tremaine Edmunds,EdmuTr01,BUF,20,MLB,15,15,2,93,73,0.785,634,8.7,6.8,2,93.3,3.9,222,412,37,4,5,2,11,121,24,0.166,2023-08-21
2018,Avery Williamson,WillAv00,NYJ,26,RILB,16,16,1,67,48,0.716,513,10.7,7.7,3,102.4,5.3,242,271,71,5,0,3,8,120,5,0.04,2023-08-21
2018,Kiko Alonso,AlonKi00,MIA,28,LLB,15,15,3,69,45,0.652,518,11.5,7.5,5,93.7,6,241,277,50,1,3,0,4,125,12,0.088,2023-08-21
2018,Malcolm Jenkins,JenkMa99,PHI,31,FS,16,16,1,69,48,0.696,431,9,6.2,2,89.7,8.3,202,229,40,2,0,1,3,97,12,0.11,2023-08-21
2018,Budda Baker,BakeBu00,ARI,22,SS,14,13,0,71,55,0.775,514,9.3,7.2,2,106.2,3.5,134,380,58,8,1,2,12,102,10,0.089,2023-08-21
2018,Danny Trevathan,TrevDa00,CHI,28,LILB,16,16,2,64,42,0.656,389,9.3,6.1,5,95.1,5.3,128,261,54,4,3,2,9,102,10,0.089,2023-08-21
2018,Myles Jack,JackMy00,JAX,23,MLB,16,16,1,49,37,0.755,380,10.3,7.8,1,95.6,4.4,157,223,47,2,1,2.5,6,107,12,0.101,2023-08-21
2018,Derwin James,JameDe00,LAC,22,FS,16,16,3,73,49,0.671,480,9.8,6.6,3,82,6.7,151,329,52,5,2,3.5,11,105,17,0.139,2023-08-21
2018,Demario Davis,DaviDe00,NO,29,LLB,16,16,0,67,53,0.791,482,9.1,7.2,3,111.6,2.7,134,348,84,4,6,5,15,110,14,0.113,2023-08-21
2018,Jessie Bates,BateJe00,CIN,21,FS,16,16,3,49,31,0.633,489,15.8,10,1,77.7,13.3,288,201,0,0,0,0,0,111,10,0.083,2023-08-21
2018,Jamie Collins,CollJa00,CLE,29,RLB,16,16,1,75,56,0.747,523,9.3,7,2,96.7,4.1,218,305,95,3,3,4,10,104,18,0.148,2023-08-21
2018,Zach Cunningham,CunnZa00,HOU,24,RILB,14,14,1,67,51,0.761,466,9.1,7,3,103.2,6.2,220,246,26,2,1,0,3,107,16,0.13,2023-08-21
2018,Jarrad Davis,DaviJa01,DET,24,MLB,16,16,0,52,36,0.692,287,8,5.5,2,95.6,1.9,78,209,57,7,4,6,17,100,18,0.153,2023-08-21
2018,Jordan Poyer,PoyeJo00,BUF,27,FS,16,16,4,39,26,0.667,396,15.2,10.2,4,94.6,12.4,277,119,26,0,1,2,3,100,15,0.13,2023-08-21
2018,Damarious Randall,RandDa00,CLE,26,SS,15,15,4,60,36,0.6,556,15.4,9.3,3,79.6,15.5,387,169,8,1,0,0,1,85,10,0.105,2023-08-21
2018,Justin Simmons,SimmJu00,DEN,25,FS,16,16,3,76,54,0.711,665,12.3,8.8,3,94.5,9.3,405,260,17,2,0,0,2,97,9,0.085,2023-08-21
