Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
1,Justin Jefferson,23,MIN,WR,17,17,10.8,7.53,106.4,4.71,69.7,9.3,36.7,4.9,10.1,0.35,21.3,0.29,2.7,0.29,104.2,PBAP-1AP MVP-5AP OPoY-1,JeffJu00
2,Tyreek Hill,28,MIA,WR,17,17,10.0,7.00,100.6,4.53,72.2,10.3,28.4,4.1,12.2,0.29,23.8,0.47,4.7,0.35,101.3,PBAP-1AP MVP-9AP OPoY-4,HillTy00
3,Travis Kelce,33,KAN,TE,17,17,8.94,6.47,78.7,4.59,40.6,6.3,38.1,5.9,7.1,0.76,8.5,0.47,5.3,0.18,117.2,PBAP-1AP OPoY-6,KelcTr00
4,Stefon Diggs,29,BUF,WR,16,16,9.63,6.75,89.3,4.63,63.1,9.4,26.2,3.9,11.2,0.13,54.0,0.50,5.2,0.06,120.3,PBAP-2,DiggSt00
5,Austin Ekeler,27,LAC,RB,17,17,7.47,6.29,42.5,2.12,-7.12,-1.1,49.6,7.9,-0.8,0.65,9.7,0.53,7.1,0.00,103.5,AP OPoY-9,EkelAu00
6,CeeDee Lamb,23,DAL,WR,17,17,9.18,6.29,79.9,3.94,51.4,8.2,28.6,4.5,10.1,0.59,10.7,0.35,3.8,0.24,104.1,PBAP-2,LambCe00
7,Amon-Ra St. Brown,23,DET,WR,16,16,9.13,6.63,72.6,4.25,40.3,6.1,32.3,4.9,6.3,0.44,15.1,0.25,2.7,0.06,106.6,PB,StxxAm00
8,Chris Godwin,26,TAM,WR,15,13,9.47,6.93,68.2,3.53,33.1,4.8,35.1,5.1,5.7,0.27,26.0,0.20,2.1,0.07,97.2,AP CPoY-7,GodwCh00
9,Davante Adams,30,LVR,WR,17,17,10.6,5.88,89.2,3.82,60.2,10.2,29.0,4.9,11.8,0.53,11.1,0.41,3.9,0.35,95.5,PBAP-1,AdamDa01
10,Michael Pittman Jr.,25,IND,WR,16,16,8.81,6.19,57.8,3.19,35.5,5.7,22.3,3.6,6.9,0.25,24.8,0.38,4.3,0.19,88.5,,PittMi01
11,DeVonta Smith,24,PHI,WR,17,17,8.00,5.59,70.4,3.35,41.5,7.4,28.8,5.2,9.6,0.29,19.0,0.47,5.9,0.06,111.0,,SmitDe07
12,D.K. Metcalf,25,SEA,WR,17,17,8.29,5.29,61.6,2.76,48.9,9.2,12.8,2.4,11.2,0.06,90.0,0.41,5.0,0.24,88.6,,MetcDK00
13,A.J. Brown,25,PHI,WR,17,16,8.53,5.18,88.0,3.47,55.8,10.8,32.2,6.2,12.1,0.41,12.6,0.29,3.4,0.18,112.3,PBAP-2AP MVP-9AP OPoY-11,BrowAJ00
14,Ja'Marr Chase,22,CIN,WR,12,12,11.2,7.25,87.2,4.83,50.7,7.0,36.5,5.0,9.0,0.83,8.7,0.92,8.2,0.33,98.7,PB,ChasJa00
15,Diontae Johnson,26,PIT,WR,17,17,8.65,5.06,51.9,2.65,38.1,7.5,13.8,2.7,10.2,0.47,10.8,0.41,4.8,0.35,58.8,,JohnDi01
16,T.J. Hockenson,25,2TM,TE,17,14,7.59,5.06,53.8,2.59,30.1,5.9,23.7,4.7,7.5,0.41,12.3,0.41,5.4,0.24,89.7,PB,HockTJ00
