Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,CeeDee Lamb,24,DAL,WR,17,17,10.6,7.94,102.9,13.0,0.71,4.71,63.5,92,7.9,102.9,74.6,9.7,0.18,PBAP-1AP OPoY-3,LambCe00
2,Tyreek Hill,29,MIA,WR,16,16,10.7,7.44,112.4,15.1,0.81,5.19,57.9,78,7.4,112.4,69.6,10.5,0.06,PBAP-1AP MVP-6AP OPoY-2,HillTy00
3,Amon-Ra St. Brown,24,DET,WR,16,16,10.3,7.44,94.7,12.7,0.63,4.69,61.6,70,7.4,94.7,72.6,9.2,0.06,PBAP-1,StxxAm00
4,Evan Engram,29,JAX,TE,17,15,8.41,6.71,56.6,8.4,0.24,2.76,53.1,34,6.7,56.6,79.7,6.7,0.18,PB,EngrEv00
5,Michael Pittman Jr.,26,IND,WR,16,15,9.75,6.81,72.0,10.6,0.25,3.31,51.9,75,6.8,72.0,69.9,7.4,0.13,,PittMi01
6,Keenan Allen,31,LAC,WR,13,13,11.5,8.31,95.6,11.5,0.54,4.38,58.7,42,8.3,95.6,72.0,8.3,0.15,PB,AlleKe00
7,Stefon Diggs,30,BUF,WR,17,17,9.41,6.29,69.6,11.1,0.47,3.41,55.0,55,6.3,69.6,66.9,7.4,0.12,PB,DiggSt00
8,A.J. Brown,26,PHI,WR,17,17,9.29,6.24,85.6,13.7,0.41,4.12,56.3,59,6.2,85.6,67.1,9.2,0.12,PBAP-2,BrowAJ00
9,Puka Nacua,22,LAR,WR,17,17,9.41,6.18,87.4,14.2,0.35,4.00,56.9,80,6.2,87.4,65.6,9.3,0.06,PBAP-2AP ORoY-2,NacuPu00
10,Davante Adams,31,LVR,WR,17,17,10.3,6.06,67.3,11.1,0.47,3.47,48.6,46,6.1,67.3,58.9,6.5,0.00,,AdamDa01
11,Adam Thielen,33,CAR,WR,17,17,8.06,6.06,59.6,9.8,0.24,3.29,58.4,32,6.1,59.6,75.2,7.4,0.12,,ThieAd00
12,Ja'Marr Chase,23,CIN,WR,16,16,9.06,6.25,76.0,12.2,0.44,3.94,56.6,76,6.3,76.0,69.0,8.4,0.06,PB,ChasJa00
13,D.J. Moore,26,CHI,WR,17,17,8.00,5.65,80.2,14.2,0.47,3.76,59.6,58,5.6,80.2,70.6,10.0,0.06,,MoorD.00
14,T.J. Hockenson,26,MIN,TE,15,11,8.47,6.33,64.0,10.1,0.33,3.20,53.5,29,6.3,64.0,74.8,7.6,0.07,,HockTJ00
15,Garrett Wilson,23,NYJ,WR,17,17,9.88,5.59,61.3,11.0,0.18,2.76,44.0,68,5.6,61.3,56.5,6.2,0.12,,WilsGa00
16,Travis Kelce,34,KAN,TE,15,15,8.07,6.20,65.6,10.6,0.33,3.33,62.0,53,6.2,65.6,76.9,8.1,0.07,PB,KelcTr00
17,Chris Olave,23,NOR,WR,16,11,8.63,5.44,70.2,12.9,0.31,3.56,53.6,51,5.4,70.2,63.0,8.1,0.00,,OlavCh00
18,Sam LaPorta,22,DET,TE,17,14,7.06,5.06,52.3,10.3,0.59,2.82,55.8,48,5.1,52.3,71.7,7.4,0.00,PBAP-2AP ORoY-3,LaPoSa01
19,Chris Godwin,27,TAM,WR,17,17,7.65,4.88,60.2,12.3,0.12,3.12,50.0,47,4.9,60.2,63.8,7.9,0.00,,GodwCh00
20,Trey McBride,24,ARI,TE,17,12,6.24,4.76,48.5,10.2,0.18,2.47,57.5,38,4.8,48.5,76.4,7.8,0.06,,McBrTr01
21,David Njoku,27,CLE,TE,16,16,7.69,5.06,55.1,10.9,0.38,2.19,43.9,43,5.1,55.1,65.9,7.2,0.13,PB,NjokDa00
22,DeVonta Smith,25,PHI,WR,16,16,7.00,5.06,66.6,13.2,0.44,2.94,55.4,63,5.1,66.6,72.3,9.5,0.06,,SmitDe07
23,Nico Collins,24,HOU,WR,15,10,7.27,5.33,86.5,16.2,0.53,3.53,61.5,75,5.3,86.5,73.4,11.9,0.07,,CollNi00
24,Mike Evans,30,TAM,WR,17,17,8.00,4.65,73.8,15.9,0.76,3.18,53.7,75,4.6,73.8,58.1,9.2,0.00,PBAP-2,EvanMi00
25,Tyler Lockett,31,SEA,WR,17,17,7.18,4.65,52.6,11.3,0.29,2.76,58.2,37,4.6,52.6,64.8,7.3,0.00,,LockTy00
26,Terry McLaurin,28,WAS,WR,17,17,7.76,4.65,58.9,12.7,0.24,2.76,49.2,48,4.6,58.9,59.8,7.6,0.00,,McLaTe00
27,Rashee Rice,23,KAN,WR,16,8,6.38,4.94,58.6,11.9,0.44,2.75,61.8,67,4.9,58.6,77.5,9.2,0.13,AP ORoY-6,RiceRa01
28,Zay Flowers,23,BAL,WR,16,16,6.75,4.81,53.6,11.1,0.31,2.56,55.6,75,4.8,53.6,71.3,7.9,0.00,AP ORoY-6,FlowZa00
29,Breece Hall,22,NYJ,RB,17,16,5.59,4.47,34.8,7.8,0.24,1.65,40.0,50,4.5,34.8,80.0,6.2,0.12,AP CPoY-7,HallBr03
30,Calvin Ridley,29,JAX,WR,17,17,8.00,4.47,59.8,13.4,0.47,2.88,48.5,59,4.5,59.8,55.9,7.5,0.06,AP CPoY-7,RidlCa00
31,Brandon Aiyuk,25,SFO,WR,16,16,6.56,4.69,83.9,17.9,0.44,3.81,70.5,76,4.7,83.9,71.4,12.8,0.06,AP-2,AiyuBr00
32,DeAndre Hopkins,31,TEN,WR,17,16,8.06,4.41,62.2,14.1,0.41,2.82,43.8,61,4.4,62.2,54.7,7.7,0.00,,HopkDe00
33,Alvin Kamara,28,NOR,RB,13,12,6.62,5.77,35.8,6.2,0.08,1.77,45.3,25,5.8,35.8,87.2,5.4,0.00,,KamaAl00
34,Dalton Kincaid,24,BUF,TE,16,11,5.69,4.56,42.1,9.2,0.13,1.81,61.5,51,4.6,42.1,80.2,7.4,0.06,,KincDa00
35,Cole Kmet,24,CHI,TE,17,17,5.29,4.29,42.3,9.8,0.35,2.12,62.2,53,4.3,42.3,81.1,8.0,0.06,,KmetCo00
36,Amari Cooper,29,CLE,WR,15,15,8.53,4.80,83.3,17.4,0.33,3.33,53.1,75,4.8,83.3,56.3,9.8,0.13,PB,CoopAm00
37,Jaylen Waddle,25,MIA,WR,14,14,7.43,5.14,72.4,14.1,0.29,3.36,58.7,60,5.1,72.4,69.2,9.8,0.00,,WaddJa00
38,Jake Ferguson,24,DAL,TE,17,16,6.00,4.18,44.8,10.7,0.29,2.35,55.9,40,4.2,44.8,69.6,7.5,0.00,PB,FergJa00
39,Jakobi Meyers,27,LVR,WR,16,16,6.63,4.44,50.4,11.4,0.50,2.88,54.7,33,4.4,50.4,67.0,7.6,0.00,,MeyeJa01
40,Jordan Addison,21,MIN,WR,17,14,6.35,4.12,53.6,13.0,0.59,2.24,50.0,62,4.1,53.6,64.8,8.4,0.00,,AddiJo00
41,Drake London,22,ATL,WR,16,16,6.88,4.31,56.6,13.1,0.13,2.81,52.7,45,4.3,56.6,62.7,8.2,0.00,,LondDr00
42,Josh Downs,22,IND,WR,17,9,5.76,4.00,45.4,11.3,0.12,1.76,50.0,59,4.0,45.4,69.4,7.9,0.00,,DownJo00
