season,club_code,week,game_type,depth_team,last_name,first_name,football_name,formation,gsis_id,jersey_number,position,elias_id,depth_position,full_name
2024,ATL,1.0,REG,1,London,Drake,Drake,Offense,00-0037238,5,WR,LON013463,WR,Drake London
2024,ATL,1.0,REG,2,Hodge,KhaDarel Lott,KhaDarel,Offense,00-0034854,12,WR,HOD250493,WR,KhaDarel Hodge
2024,ATL,1.0,REG,2,Blair,Chris,Chris,Offense,00-0036463,19,WR,BLA490972,WR,Chris Blair
2024,ATL,1.0,REG,1,Mooney,Darnell,Darnell,Offense,00-0036309,1,WR,MOO076900,WR,Darnell Mooney
2024,ATL,1.0,REG,1,McCloud,Ray-Ray,Ray-Ray,Offense,00-0034407,34,WR,MCC417118,WR,Ray-Ray McCloud
2024,ATL,2.0,REG,1,London,Drake,Drake,Offense,00-0037238,5,WR,LON013463,WR,Drake London
2024,ATL,2.0,REG,2,Hodge,KhaDarel Lott,KhaDarel,Offense,00-0034854,12,WR,HOD250493,WR,KhaDarel Hodge
2024,ATL,2.0,REG,2,Blair,Chris,Chris,Offense,00-0036463,19,WR,BLA490972,WR,Chris Blair
2024,ATL,2.0,REG,1,Mooney,Darnell,Darnell,Offense,00-0036309,1,WR,MOO076900,WR,Darnell Mooney
2024,ATL,2.0,REG,1,McCloud,Ray-Ray,Ray-Ray,Offense,00-0034407,34,WR,MCC417118,WR,Ray-Ray McCloud
2024,ATL,3.0,REG,2,Hodge,KhaDarel Lott,KhaDarel,Offense,00-0034854,12,WR,HOD250493,WR,KhaDarel Hodge
2024,ATL,3.0,REG,1,Mooney,Darnell,Darnell,Offense,00-0036309,1,WR,MOO076900,WR,Darnell Mooney
2024,ATL,3.0,REG,1,London,Drake,Drake,Offense,00-0037238,5,WR,LON013463,WR,Drake London
2024,ATL,3.0,REG,1,McCloud,Ray-Ray,Ray-Ray,Offense,00-0034407,34,WR,MCC417118,WR,Ray-Ray McCloud
2024,ATL,3.0,REG,2,Washington,Casey,Casey,Offense,00-0039394,82,WR,WAS075963,WR,Casey Washington
2024,ATL,4.0,REG,2,Washington,Casey,Casey,Offense,00-0039394,82,WR,WAS075963,WR,Casey Washington
2024,ATL,4.0,REG,1,Mooney,Darnell,Darnell,Offense,00-0036309,1,WR,MOO076900,WR,Darnell Mooney
2024,ATL,4.0,REG,1,McCloud,Ray-Ray,Ray-Ray,Offense,00-0034407,34,WR,MCC417118,WR,Ray-Ray McCloud
2024,ATL,4.0,REG,2,Hodge,KhaDarel Lott,KhaDarel,Offense,00-0034854,12,WR,HOD250493,WR,KhaDarel Hodge
2024,ATL,4.0,REG,1,London,Drake,Drake,Offense,00-0037238,5,WR,LON013463,WR,Drake London
2024,ATL,5.0,REG,1,McCloud,Ray-Ray,Ray-Ray,Offense,00-0034407,34,WR,MCC417118,WR,Ray-Ray McCloud
2024,ATL,5.0,REG,1,London,Drake,Drake,Offense,00-0037238,5,WR,LON013463,WR,Drake London
2024,ATL,5.0,REG,2,Hodge,KhaDarel Lott,KhaDarel,Offense,00-0034854,12,WR,HOD250493,WR,KhaDarel Hodge
2024,ATL,5.0,REG,1,Mooney,Darnell,Darnell,Offense,00-0036309,1,WR,MOO076900,WR,Darnell Mooney
2024,ATL,5.0,REG,2,Washington,Casey,Casey,Offense,00-0039394,82,WR,WAS075963,WR,Casey Washington
2024,ATL,6.0,REG,1,Mooney,Darnell,Darnell,Offense,00-0036309,1,WR,MOO076900,WR,Darnell Mooney
2024,ATL,6.0,REG,1,London,Drake,Drake,Offense,00-0037238,5,WR,LON013463,WR,Drake London
2024,ATL,6.0,REG,1,McCloud,Ray-Ray,Ray-Ray,Offense,00-0034407,34,WR,MCC417118,WR,Ray-Ray McCloud
2024,ATL,6.0,REG,2,Washington,Casey,Casey,Offense,00-0039394,82,WR,WAS075963,WR,Casey Washington
2024,ATL,6.0,REG,2,Hodge,KhaDarel Lott,KhaDarel,Offense,00-0034854,12,WR,HOD250493,WR,KhaDarel Hodge
2024,ATL,7.0,REG,1,Mooney,Darnell,Darnell,Offense,00-0036309,1,WR,MOO076900,WR,Darnell Mooney
2024,ATL,7.0,REG,2,Washington,Casey,Casey,Offense,00-0039394,82,WR,WAS075963,WR,Casey Washington
