Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
1,Justin Jefferson,23,MIN,WR,17,17,184,128,1809,80,1185,9.3,624,4.9,10.1,6,21.3,5,2.7,5,104.2,PBAP-1AP MVP-5AP OPoY-1,JeffJu00
2,Tyreek Hill,28,MIA,WR,17,17,170,119,1710,77,1228,10.3,482,4.1,12.2,5,23.8,8,4.7,6,101.3,PBAP-1AP MVP-9AP OPoY-4,HillTy00
4,Stefon Diggs,29,BUF,WR,16,16,154,108,1429,74,1010,9.4,419,3.9,11.2,2,54.0,8,5.2,1,120.3,PBAP-2,DiggSt00
6,CeeDee Lamb,23,DAL,WR,17,17,156,107,1359,67,873,8.2,486,4.5,10.1,10,10.7,6,3.8,4,104.1,PBAP-2,LambCe00
7,Amon-Ra St. Brown,23,DET,WR,16,16,146,106,1161,68,645,6.1,516,4.9,6.3,7,15.1,4,2.7,1,106.6,PB,StxxAm00
8,Chris Godwin,26,TAM,WR,15,13,142,104,1023,53,496,4.8,527,5.1,5.7,4,26.0,3,2.1,1,97.2,AP CPoY-7,GodwCh00
9,Davante Adams,30,LVR,WR,17,17,180,100,1516,65,1023,10.2,493,4.9,11.8,9,11.1,7,3.9,6,95.5,PBAP-1,AdamDa01
10,Michael Pittman Jr.,25,IND,WR,16,16,141,99,925,51,568,5.7,357,3.6,6.9,4,24.8,6,4.3,3,88.5,,PittMi01
11,DeVonta Smith,24,PHI,WR,17,17,136,95,1196,57,706,7.4,490,5.2,9.6,5,19.0,8,5.9,1,111.0,,SmitDe07
12,D.K. Metcalf,25,SEA,WR,17,17,141,90,1048,47,831,9.2,217,2.4,11.2,1,90.0,7,5.0,4,88.6,,MetcDK00
13,A.J. Brown,25,PHI,WR,17,16,145,88,1496,59,948,10.8,548,6.2,12.1,7,12.6,5,3.4,3,112.3,PBAP-2AP MVP-9AP OPoY-11,BrowAJ00
14,Ja'Marr Chase,22,CIN,WR,12,12,134,87,1046,58,608,7.0,438,5.0,9.0,10,8.7,11,8.2,4,98.7,PB,ChasJa00
15,Diontae Johnson,26,PIT,WR,17,17,147,86,882,45,647,7.5,235,2.7,10.2,8,10.8,7,4.8,6,58.8,,JohnDi01
18,Christian Kirk,26,JAX,WR,17,17,133,84,1108,55,737,8.8,371,4.4,9.1,5,16.8,7,5.3,4,96.9,,KirkCh01
19,Tyler Lockett,30,SEA,WR,16,16,117,84,1033,50,759,9.0,274,3.3,10.6,1,84.0,2,1.7,5,106.5,,LockTy00
20,Garrett Wilson,22,NYJ,WR,17,12,147,83,1103,56,719,8.7,384,4.6,10.5,10,8.3,5,3.4,1,86.6,AP ORoY-1,WilsGa00
21,Zay Jones,27,JAX,WR,16,15,121,82,823,44,541,6.6,282,3.4,8.6,2,41.0,13,10.7,2,93.8,,JoneZa00
22,Brandon Aiyuk,24,SFO,WR,17,17,114,78,1015,47,627,8.0,388,5.0,9.9,4,19.5,7,6.1,1,115.9,,AiyuBr00
23,Amari Cooper,28,CLE,WR,17,17,132,78,1160,61,835,10.7,325,4.2,12.1,4,19.5,12,9.1,3,101.2,,CoopAm00
24,JuJu Smith-Schuster,26,KAN,WR,16,14,101,78,933,47,468,6.0,465,6.0,7.3,3,26.0,6,5.9,3,102.5,,SmitJu00
25,Mike Evans,29,TAM,WR,15,15,127,77,1124,53,908,11.8,216,2.8,12.6,2,38.5,4,3.1,6,85.5,,EvanMi00
26,Terry McLaurin,27,WAS,WR,17,17,120,77,1191,56,797,10.4,394,5.1,12.8,7,11.0,3,2.5,2,103.9,PB,McLaTe00
27,Cooper Kupp,29,LAR,WR,9,9,98,75,812,42,390,5.2,422,5.6,7.2,3,25.0,2,2.0,4,103.8,,KuppCo00
28,Jaylen Waddle,24,MIA,WR,17,17,117,75,1356,60,846,11.3,510,6.8,11.8,4,18.8,7,6.0,2,119.5,,WaddJa00
29,Tee Higgins,23,CIN,WR,16,14,109,74,1029,47,743,10.0,286,3.9,10.9,2,37.0,8,7.3,1,115.6,,HiggTe00
34,Drake London,21,ATL,WR,17,15,117,72,866,48,635,8.8,231,3.2,10.4,1,72.0,3,2.6,3,84.9,,LondDr00
35,Chris Olave,22,NOR,WR,15,9,119,72,1042,48,832,11.6,210,2.9,14.2,2,36.0,7,5.9,5,82.7,AP ORoY-4,OlavCh00
36,Josh Palmer,23,LAC,WR,16,11,107,72,769,39,514,7.1,255,3.5,8.7,1,72.0,6,5.6,2,89.7,,PalmJo00
37,Adam Thielen,32,MIN,WR,17,17,107,70,716,45,564,8.1,152,2.2,9.7,1,70.0,2,1.9,3,91.5,,ThieAd00
39,Marquise Brown,25,ARI,WR,12,10,107,67,709,33,473,7.1,236,3.5,11.3,1,67.0,4,3.7,7,64.0,,BrowMa04
40,Jerry Jeudy,23,DEN,WR,15,14,100,67,972,41,580,8.7,392,5.9,11.5,3,22.3,5,5.0,2,110.1,,JeudJe00
41,Jakobi Meyers,26,NWE,WR,14,13,96,67,804,38,568,8.5,236,3.5,9.9,1,67.0,4,4.2,0,116.0,,MeyeJa01
42,Keenan Allen,30,LAC,WR,10,10,89,66,752,39,489,7.4,263,4.0,8.6,1,66.0,2,2.2,2,104.7,,AlleKe00
43,DeAndre Hopkins,30,ARI,WR,9,9,96,64,717,35,552,8.6,165,2.6,10.2,1,64.0,5,5.2,3,86.2,,HopkDe00
44,Curtis Samuel,26,WAS,WR,17,12,92,64,656,36,367,5.7,289,4.5,6.7,8,8.0,5,5.4,2,95.2,,SamuCu00
45,Courtland Sutton,27,DEN,WR,15,15,109,64,829,38,677,10.6,152,2.4,12.3,1,64.0,9,8.3,4,73.5,,SuttCo00
46,Parris Campbell,25,IND,WR,17,16,91,63,623,32,346,5.5,277,4.4,6.4,5,12.6,5,5.5,6,71.8,,CampPa00
48,D.J. Moore,25,CAR,WR,17,17,118,63,888,44,706,11.2,182,2.9,13.0,4,15.8,7,5.9,5,80.0,,MoorD.00
49,Mike Williams,28,LAC,WR,13,13,93,63,895,39,576,9.1,319,5.1,12.0,0,,1,1.1,2,104.0,,WillMi07
50,Donovan Peoples-Jones,23,CLE,WR,17,14,96,61,839,33,648,10.6,191,3.1,11.7,1,61.0,2,2.1,1,97.5,,PeopDo00
52,Allen Lazard,27,GNB,WR,15,15,100,60,788,45,540,9.0,248,4.1,12.5,1,60.0,6,6.0,5,84.1,,LazaAl00
54,K.J. Osborn,25,MIN,WR,17,9,90,60,650,32,350,5.8,300,5.0,8.3,3,20.0,2,2.2,2,97.0,,OsboKJ00
56,Tyler Boyd,28,CIN,WR,16,14,82,58,762,42,513,8.8,249,4.3,9.2,2,29.0,3,3.7,5,94.7,,BoydTy00
61,Brandin Cooks,29,HOU,WR,13,13,93,57,699,29,494,8.7,205,3.6,10.7,1,57.0,5,5.4,4,77.3,,CookBr00
62,Mack Hollins,29,LVR,WR,17,16,94,57,690,34,494,8.7,196,3.4,12.7,2,28.5,5,5.3,3,84.1,,HollMa00
63,Richie James,27,NYG,WR,17,4,70,57,569,29,393,6.9,176,3.1,7.2,1,57.0,3,4.3,0,119.6,,JameRi00
67,Deebo Samuel,26,SFO,WR,13,12,94,56,632,25,139,2.5,493,8.8,4.3,12,4.7,9,9.6,3,73.5,,SamuDe00
71,Robert Woods,30,TEN,WR,17,15,91,53,527,31,371,7.0,156,2.9,7.8,0,,4,4.4,3,68.3,,WoodRo02
72,Greg Dortch,24,ARI,WR,16,4,64,52,467,19,174,3.3,293,5.6,4.9,3,17.3,0,0.0,0,107.5,,DortGr01
74,George Pickens,21,PIT,WR,17,12,84,52,801,38,697,13.4,104,2.0,14.5,5,10.4,3,3.6,0,109.3,,PickGe00
75,Russell Gage,26,TAM,WR,13,4,70,51,426,31,255,5.0,171,3.4,5.5,2,25.5,3,4.3,0,112.0,,GageRu00
79,Gabriel Davis,23,BUF,WR,15,15,93,48,836,35,690,14.4,146,3.0,15.3,0,,9,9.7,6,80.8,,DaviGa01
81,Chris Moore,29,HOU,WR,16,7,74,48,548,24,285,5.9,263,5.5,8.8,2,24.0,2,2.7,3,79.1,,MoorCh00
82,Demarcus Robinson,28,BAL,WR,17,5,75,48,458,23,312,6.5,146,3.0,9.0,1,48.0,3,4.0,4,67.5,,RobiDe01
85,Kalif Raymond,28,DET,WR,17,7,64,47,616,24,398,8.5,218,4.6,10.0,2,23.5,0,0.0,0,103.4,AP-2,RaymKa00
86,DeAndre Carter,29,LAC,WR,17,7,65,46,538,29,332,7.2,206,4.5,8.9,0,,2,3.1,1,104.5,,CartDe02
89,Marvin Jones,32,JAX,WR,16,10,81,46,529,29,434,9.4,95,2.1,13.2,0,,5,6.2,2,78.7,,JoneMa02
90,Darius Slayton,25,NYG,WR,16,11,71,46,724,30,462,10.0,262,5.7,12.5,2,23.0,7,9.9,2,96.2,,SlayDa01
91,Chase Claypool,24,2TM,WR,15,11,79,46,451,24,302,6.6,149,3.2,10.3,2,23.0,4,5.1,4,57.5,,ClayCh01
91,Chase Claypool,24,PIT,WR,8,8,50,32,311,17,206,6.4,105,3.3,9.5,2,16.0,1,2.0,2,71.3,,ClayCh01
91,Chase Claypool,24,CHI,WR,7,3,29,14,140,7,96,6.9,44,3.1,11.9,0,,3,10.3,2,33.7,,ClayCh01
92,Noah Brown,26,DAL,WR,16,13,74,43,555,25,427,9.9,128,3.0,10.8,4,10.8,6,8.1,4,72.7,,BrowNo00
93,Romeo Doubs,22,GNB,WR,13,7,67,42,425,20,229,5.5,196,4.7,9.4,0,,9,13.4,0,95.7,,DoubRo00
95,Isaiah McKenzie,27,BUF,WR,15,8,65,42,423,27,295,7.0,128,3.0,8.3,0,,6,9.2,2,90.7,,McKeIs00
97,Marquez Valdes-Scantling,28,KAN,WR,17,11,81,42,687,32,538,12.8,149,3.5,13.9,0,,5,6.2,1,83.7,,ValdMa00
102,Rondale Moore,22,ARI,WR,8,8,56,41,414,16,133,3.2,281,6.9,5.5,5,8.2,6,10.7,0,99.9,,MoorRo02
103,Alec Pierce,22,IND,WR,16,12,78,41,593,28,480,11.7,113,2.8,11.7,0,,3,3.8,2,75.4,,PierAl00
104,Christian Watson,23,GNB,WR,14,11,66,41,611,28,335,8.2,276,6.7,13.8,3,13.7,4,6.1,1,121.5,AP ORoY-7,WatsCh00
105,Darnell Mooney,25,CHI,WR,12,12,61,40,493,20,329,8.2,164,4.1,12.0,2,20.0,2,3.3,2,87.7,,MoonDa00
106,Olamide Zaccheaus,25,ATL,WR,17,13,61,40,533,25,344,8.6,189,4.7,11.5,3,13.3,0,0.0,0,109.5,,ZaccOl01
108,Michael Gallup,26,DAL,WR,14,11,74,39,424,25,317,8.1,107,2.7,11.1,0,,6,8.1,4,65.4,,GallMi00
